Designator,Quantity,Value,Footprint,LCSC Part #
U2,1,ATmega32U4-MU,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,C112161
Y1,1,Crystal_GND24_Small,Crystal_SMD_3225-4Pin_3.2x2.5mm,C13738
USB1,1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-Assembly,C165948
R7,1,1M,R_0603_1608Metric,C22935
"R6, R5",2,5.1k,R_0603_1608Metric,C23186
"R4, R1",2,10k,R_0603_1608Metric,C25804
"R3, R2",2,22,R_0603_1608Metric,C23345
F1,1,Polyfuse_Small,Fuse_1206_3216Metric,C70076
D14,1,PRTR5V0U2X,SOT-143,C12333
C10,1,4.7uF,C_0603_1608Metric,C19666
C9,1,1uF,C_0603_1608Metric,C15849
"C8, C7",2,22pF,C_0603_1608Metric,C1653
C6,1,10uF,C_0603_1608Metric,C19702
"C5, C4, C3, C2, C1",5,0.1uF,C_0603_1608Metric,C14663
"D26, D25, D24, D23, D22, D20, D19, D18, D17, D16, D15, D13, D12, D11, D10, D9, D8, D6, D5, D4, D3, D2, D1",23,BAV70,SOT-23,C68978
"D21, D7",2,D_Small,D_SOD-123,C64898
